"country","pop2021"
"Ethiopia","117876.2270"
"Uganda","47123.5310"
"Afghanistan","39835.4280"
"Uzbekistan","33935.7630"
"Nepal","29674.9200"
"Niger","25130.8170"
"Burkina Faso","21497.0960"
"Mali","20855.7350"
"Malawi","19647.6840"
"Kazakhstan","18994.9620"
"Zambia","18920.6510"
"Chad","16914.9850"
"Zimbabwe","15092.1710"
"Rwanda","13276.5130"
"Burundi","12255.4330"
"Bolivia","11832.9400"
"South Sudan","11381.3780"
"Czech Republic","10724.5550"
"Azerbaijan","10223.3420"
"Tajikistan","9749.6270"
"Hungary","9634.1640"
"Belarus","9442.8620"
"Austria","9043.0700"
"Switzerland","8715.4940"
"Serbia","8697.5500"
"Laos","7379.3580"
"Paraguay","7219.6380"
"Kyrgyzstan","6628.3560"
"Turkmenistan","6117.9240"
"Slovakia","5460.7210"
"Central African Republic","4919.9810"
"Moldova","4024.0190"
"Mongolia","3329.2890"
"Armenia","2968.1270"
"Botswana","2397.2410"
"Lesotho","2159.0790"
"Eswatini","1172.3620"
"Bhutan","779.8980"
"Luxembourg","634.8140"
"Andorra","77.3550"
"Liechtenstein","38.2500"
"San Marino","34.0170"
"Vatican City","0.8000"